Product Id, Sku, Name, Description, Short Description, Manufacturer, Create At, Updated At, Price, Meta Title
91386,"TAR-4110309-04-3 months","Blue Zip-Up Hooded Cardigan-3 months","<p><a href=""/designers/t-designers/tartine-et-chocolat.html"">Tartine et Chocolat</a> blue zip-up hooded cardigan features navy trim, a hood and long sleeves both featuring navy elbow patches. Additionally this cardigan features a thick navy stripe down the left hand side and at the reverse, two small pockets on the left side, branding just above the trim and a central zip fastening. Made from 92% cotton, 2% cashmere. Machine wash at 30 degrees.</p>
<p>This adorable blue hooded cardigan from <a href=""/designers/t-designers/tartine-et-chocolat.html""><strong>Tartine et Chocolat</strong></a> is a must have item for your little boy's wardrobe this season. The blue and navy colours make this a classic piece which will go with almost anything you want to pair it with to make that perfect and stylish outfit for your young man. To complete the look team with these <a href=""/babies/products/bottoms-1/beige-shorts.html""><strong>Burberry beige shorts </strong></a>and these <a href=""/designers/l-designers/lacoste-kids/white-and-grey-europa-velcro-trainers.html""><strong>Lacoste white and grey Europa velcro trainers. </strong></a></p>",TAR-4110309-04,31,"2012-02-01 08:39:02","2012-02-01 08:39:02",76.0000,"Tartine et Chocolat Baby Boys Blue Zip-Up Hooded Cardigan"
91387,"TAR-4110309-04-6 months","Blue Zip-Up Hooded Cardigan-6 months","<p><a href=""/designers/t-designers/tartine-et-chocolat.html"">Tartine et Chocolat</a> blue zip-up hooded cardigan features navy trim, a hood and long sleeves both featuring navy elbow patches. Additionally this cardigan features a thick navy stripe down the left hand side and at the reverse, two small pockets on the left side, branding just above the trim and a central zip fastening. Made from 92% cotton, 2% cashmere. Machine wash at 30 degrees.</p>
<p>This adorable blue hooded cardigan from <a href=""/designers/t-designers/tartine-et-chocolat.html""><strong>Tartine et Chocolat</strong></a> is a must have item for your little boy's wardrobe this season. The blue and navy colours make this a classic piece which will go with almost anything you want to pair it with to make that perfect and stylish outfit for your young man. To complete the look team with these <a href=""/babies/products/bottoms-1/beige-shorts.html""><strong>Burberry beige shorts </strong></a>and these <a href=""/designers/l-designers/lacoste-kids/white-and-grey-europa-velcro-trainers.html""><strong>Lacoste white and grey Europa velcro trainers. </strong></a></p>",TAR-4110309-04,31,"2012-02-01 08:39:17","2012-02-01 08:39:17",76.0000,"Tartine et Chocolat Baby Boys Blue Zip-Up Hooded Cardigan"
91388,"TAR-4110309-04-1 year","Blue Zip-Up Hooded Cardigan-1 year","<p><a href=""/designers/t-designers/tartine-et-chocolat.html"">Tartine et Chocolat</a> blue zip-up hooded cardigan features navy trim, a hood and long sleeves both featuring navy elbow patches. Additionally this cardigan features a thick navy stripe down the left hand side and at the reverse, two small pockets on the left side, branding just above the trim and a central zip fastening. Made from 92% cotton, 2% cashmere. Machine wash at 30 degrees.</p>
<p>This adorable blue hooded cardigan from <a href=""/designers/t-designers/tartine-et-chocolat.html""><strong>Tartine et Chocolat</strong></a> is a must have item for your little boy's wardrobe this season. The blue and navy colours make this a classic piece which will go with almost anything you want to pair it with to make that perfect and stylish outfit for your young man. To complete the look team with these <a href=""/babies/products/bottoms-1/beige-shorts.html""><strong>Burberry beige shorts </strong></a>and these <a href=""/designers/l-designers/lacoste-kids/white-and-grey-europa-velcro-trainers.html""><strong>Lacoste white and grey Europa velcro trainers. </strong></a></p>",TAR-4110309-04,31,"2012-02-01 08:39:34","2012-02-01 08:39:34",76.0000,"Tartine et Chocolat Baby Boys Blue Zip-Up Hooded Cardigan"
91389,"TAR-4110309-04-18 months","Blue Zip-Up Hooded Cardigan-18 months","<p><a href=""/designers/t-designers/tartine-et-chocolat.html"">Tartine et Chocolat</a> blue zip-up hooded cardigan features navy trim, a hood and long sleeves both featuring navy elbow patches. Additionally this cardigan features a thick navy stripe down the left hand side and at the reverse, two small pockets on the left side, branding just above the trim and a central zip fastening. Made from 92% cotton, 2% cashmere. Machine wash at 30 degrees.</p>
<p>This adorable blue hooded cardigan from <a href=""/designers/t-designers/tartine-et-chocolat.html""><strong>Tartine et Chocolat</strong></a> is a must have item for your little boy's wardrobe this season. The blue and navy colours make this a classic piece which will go with almost anything you want to pair it with to make that perfect and stylish outfit for your young man. To complete the look team with these <a href=""/babies/products/bottoms-1/beige-shorts.html""><strong>Burberry beige shorts </strong></a>and these <a href=""/designers/l-designers/lacoste-kids/white-and-grey-europa-velcro-trainers.html""><strong>Lacoste white and grey Europa velcro trainers. </strong></a></p>",TAR-4110309-04,31,"2012-02-01 08:39:45","2012-02-01 08:39:45",76.0000,"Tartine et Chocolat Baby Boys Blue Zip-Up Hooded Cardigan"
91390,"TAR-4110309-04-2 years","Blue Zip-Up Hooded Cardigan-2 years","<p><a href=""/designers/t-designers/tartine-et-chocolat.html"">Tartine et Chocolat</a> blue zip-up hooded cardigan features navy trim, a hood and long sleeves both featuring navy elbow patches. Additionally this cardigan features a thick navy stripe down the left hand side and at the reverse, two small pockets on the left side, branding just above the trim and a central zip fastening. Made from 92% cotton, 2% cashmere. Machine wash at 30 degrees.</p>
<p>This adorable blue hooded cardigan from <a href=""/designers/t-designers/tartine-et-chocolat.html""><strong>Tartine et Chocolat</strong></a> is a must have item for your little boy's wardrobe this season. The blue and navy colours make this a classic piece which will go with almost anything you want to pair it with to make that perfect and stylish outfit for your young man. To complete the look team with these <a href=""/babies/products/bottoms-1/beige-shorts.html""><strong>Burberry beige shorts </strong></a>and these <a href=""/designers/l-designers/lacoste-kids/white-and-grey-europa-velcro-trainers.html""><strong>Lacoste white and grey Europa velcro trainers. </strong></a></p>",TAR-4110309-04,31,"2012-02-01 08:40:06","2012-02-01 08:40:06",76.0000,"Tartine et Chocolat Baby Boys Blue Zip-Up Hooded Cardigan"
91391,"TAR-4110309-04-3 years","Blue Zip-Up Hooded Cardigan-3 years","<p><a href=""/designers/t-designers/tartine-et-chocolat.html"">Tartine et Chocolat</a> blue zip-up hooded cardigan features navy trim, a hood and long sleeves both featuring navy elbow patches. Additionally this cardigan features a thick navy stripe down the left hand side and at the reverse, two small pockets on the left side, branding just above the trim and a central zip fastening. Made from 92% cotton, 2% cashmere. Machine wash at 30 degrees.</p>
<p>This adorable blue hooded cardigan from <a href=""/designers/t-designers/tartine-et-chocolat.html""><strong>Tartine et Chocolat</strong></a> is a must have item for your little boy's wardrobe this season. The blue and navy colours make this a classic piece which will go with almost anything you want to pair it with to make that perfect and stylish outfit for your young man. To complete the look team with these <a href=""/babies/products/bottoms-1/beige-shorts.html""><strong>Burberry beige shorts </strong></a>and these <a href=""/designers/l-designers/lacoste-kids/white-and-grey-europa-velcro-trainers.html""><strong>Lacoste white and grey Europa velcro trainers. </strong></a></p>",TAR-4110309-04,31,"2012-02-01 08:40:16","2012-02-01 08:40:16",76.0000,"Tartine et Chocolat Baby Boys Blue Zip-Up Hooded Cardigan"
91392,TAR-4111141-01,"Coral Socks ","<p><a href=""/designers/t-designers/tartine-et-chocolat.html"">Tartine et Chocolate</a> coral socks feature polkadot, turned down ankles with a scalloped edge, branding on the sole and bow detailing on the reverse ankle. In addition, there is also a mother of pearl branded tag on the reverse. Made from 80% cotton, 19% polyamine and 1% elastane. Machine wash at 30 degrees.</p>
<p>These bright and vibrant socks from <a href=""/designers/t-designers/tartine-et-chocolat.html""><strong>Tartine et Chocolate</strong></a> are perfect for your little girl's spring/summer wardrobe with the colouring being right on trend for this season. The adorable girly additions make these a simple must have that your angel is bound to fall in love with. If you are a fan of this item, you may also be interested in <a href=""/designers/b-designers/burberry/socks-with-a-nova-square.html""><strong>Burberry Socks with a Nova Square </strong></a>and <a href=""/designers/b-designers/burberry/pink-socks-with-bow.html""><strong>Burberry Pink Socks with Bow</strong></a>.</p>",TAR-4111141-01,31,"2012-02-01 08:48:00","2012-02-02 15:37:51",21.0000,"Tartine et Chocolate Babies Coral Socks "
91393,GALL4131034-02,"White Tee With Pink Gazette Print","<p><a href=""/designers/j-designers/john-galliano.html"" target=""_self"">John Galliano</a> white tee with pink gazette print, features a crew neckline, short sleeves with an all over neon pink signature gazette print. Made from 95% Cotton and 5% Elastane, machine wash at 30 degrees.</p>
<p>This cool tee from <a href=""/designers/j-designers/john-galliano.html"" target=""_self""><strong>John Galliano</strong></a> is perfect for you designer darling. The iconic gazette print gives the simple tee a designer makeover and will have her at the front of the fashion pack. Team with the<a href=""/girls/products/trousers-shorts/denim-shorts-with-turn-ups.html"" target=""_self""><strong> Diesel Denim With Turn Ups</strong></a> and the<a href=""/shoes/products/girls/studded-face-high-tops-in-pink.html"" target=""_self""><strong> Ash Studded 'Face' High Tops In Pink</strong></a> for an urban cool look.</p>",GALL4131034-02,61,"2012-02-01 08:52:28","2012-02-02 13:16:22",46.0000,"John Galliano Girls White Tee With Pink Gazette Print"
91394,TAR-4111246-01,"Navy Cargo Trousers","<p><a href=""/designers/t-designers/tartine-et-chocolat.html"">Tartine et Chocolat</a> navy cargo trousers feature an elasticated waist, two pockets, one of which has branding, and turned up hemlines. Made from 100% cotton. Machine wash at 30 degrees.</p>
<p>These great smart/ casual cargo trousers from <a href=""/designers/t-designers/tartine-et-chocolat.html""><strong>Tartine et Chocolat</strong></a> are a great item for any little boy to own. The classic navy hue means they are incredibly adaptable, whilst 100% cotton composition will ensure he is comfortable whilst looking stylish . To complete the look team with this <a href=""/babies/products/t-shirts-tops/white-tee-with-horse-branding.html""><strong>Burberry white tee with horse branding</strong></a> and these <a href=""/babies/products/shoes-1/white-and-grey-europa-velcro-trainers.html""><strong>Lacoste White and grey Europa velcro trainers.</strong></a></p>",TAR-4111246-01,31,"2012-02-01 08:54:06","2012-02-02 13:27:18",58.0000,"Tartine et Chocolat Baby Boys Navy Cargo Trousers"
91395,"TAR-4111141-01-15/16 (3 months)","Coral Socks -15/16 (3 months)","<p><a href=""/designers/t-designers/tartine-et-chocolat.html"">Tartine et Chocolate</a> coral socks feature polkadot turned down ankles with a scalloped edge, branding on the sole and bow detailing on the reverse ankle. In addition, there is also a mother of pearl branded tag on the reverse. Made from 80% cotton, 19% polyamine and 1% elastane. Machine wash at 30 degrees.</p>
<p>These bright and vibrant socks from <a href=""/designers/t-designers/tartine-et-chocolat.html""><strong>Tartine et Chocolate</strong></a> are perfect for your little girl's spring/summer wardrobe with the colouring being right on trend for this season. The adorable girly additions make these a simple must have that your angel is bound to fall in love with. If you are a fan of this item, you may also be interested in <a href=""/designers/b-designers/burberry/socks-with-a-nova-square.html""><strong>Burberry Socks with a Nova Square </strong></a>and <a href=""/designers/b-designers/burberry/pink-socks-with-bow.html""><strong>Burberry Pink Socks with Bow</strong></a>.</p>",TAR-4111141-01,31,"2012-02-01 08:54:56","2012-02-01 08:54:56",21.0000,"Tartine et Chocolate Babies Coral Socks "
